Entity,Code,Year,"Coffee, green | 00000656 || Production | 005510 || tonnes"
Africa,,1961,870970
Africa,,1962,883512
Africa,,1963,996674
Africa,,1964,1162048
Africa,,1965,1075084
Africa,,1966,1199529
Africa,,1967,1085561
Africa,,1968,1183868
Africa,,1969,1253504
Africa,,1970,1295001
Africa,,1971,1266294
Africa,,1972,1296274
Africa,,1973,1379422
Africa,,1974,1266734
Africa,,1975,1312580
Africa,,1976,1165512
Africa,,1977,1235352
Africa,,1978,1063658
Africa,,1979,1110744
Africa,,1980,1163648
Africa,,1981,1293046
Africa,,1982,1206872
Africa,,1983,1113475
Africa,,1984,1036465
Africa,,1985,1181857
Africa,,1986,1274895
Africa,,1987,1235947
Africa,,1988,1218793
Africa,,1989,1256511
Africa,,1990,1254209
Africa,,1991,1192734
Africa,,1992,1156200
Africa,,1993,991822.56
Africa,,1994,1058407.9
Africa,,1995,1127035.5
Africa,,1996,1254436.2
Africa,,1997,1176346.1
Africa,,1998,1219222.2
Africa,,1999,1254044.8
Africa,,2000,1280778.2
Africa,,2001,1121272.8
Africa,,2002,1098672.8
Africa,,2003,811188.4
Africa,,2004,1063192.9
Africa,,2005,984258.6
Africa,,2006,1060500.1
Africa,,2007,999819.4
Africa,,2008,1079151.6
Africa,,2009,1001933.94
Africa,,2010,1085218.6
Africa,,2011,987478.4
Africa,,2012,975107.44
Africa,,2013,1104529
Africa,,2014,1086611.5
Africa,,2015,1153374.1
Africa,,2016,1192023.1
Africa,,2017,1168291
Africa,,2018,1316511.4
Africa,,2019,1354575.5
Africa,,2020,1431087.4
Africa,,2021,1352896.2
Africa (FAO),,1961,870970
Africa (FAO),,1962,883512
Africa (FAO),,1963,996674
Africa (FAO),,1964,1162048
Africa (FAO),,1965,1075084
Africa (FAO),,1966,1199529
Africa (FAO),,1967,1085561
Africa (FAO),,1968,1183868
Africa (FAO),,1969,1253504
Africa (FAO),,1970,1295001
Africa (FAO),,1971,1266294
Africa (FAO),,1972,1296274
Africa (FAO),,1973,1379422
Africa (FAO),,1974,1266734
Africa (FAO),,1975,1312580
Africa (FAO),,1976,1165512
Africa (FAO),,1977,1235352
Africa (FAO),,1978,1063658
Africa (FAO),,1979,1110744
Africa (FAO),,1980,1163648
Africa (FAO),,1981,1293046
Africa (FAO),,1982,1206872
Africa (FAO),,1983,1113475
Africa (FAO),,1984,1036465
Africa (FAO),,1985,1181857
Africa (FAO),,1986,1274895
Africa (FAO),,1987,1235947
Africa (FAO),,1988,1218793
Africa (FAO),,1989,1256511
Africa (FAO),,1990,1254209
Africa (FAO),,1991,1192734
Africa (FAO),,1992,1156200
Africa (FAO),,1993,991822.56
Africa (FAO),,1994,1058407.9
Africa (FAO),,1995,1127035.5
Africa (FAO),,1996,1254436.2
Africa (FAO),,1997,1176346.1
Africa (FAO),,1998,1219222.2
Africa (FAO),,1999,1254044.6
Africa (FAO),,2000,1280778.2
Africa (FAO),,2001,1121272.8
Africa (FAO),,2002,1098672.8
Africa (FAO),,2003,811188.4
Africa (FAO),,2004,1063192.9
Africa (FAO),,2005,984258.6
Africa (FAO),,2006,1060500.1
Africa (FAO),,2007,999819.4
Africa (FAO),,2008,1079151.6
Africa (FAO),,2009,1001933.94
Africa (FAO),,2010,1085218.6
Africa (FAO),,2011,987478.4
Africa (FAO),,2012,975107.5
Africa (FAO),,2013,1104529
